location_clean,latitude,longitude
lakshmipura vidyaanyapura,,
lal bahadur shastri nagar,12.9678103,77.6715478
lalbagh road,12.9573479,77.5861786
langford gardens,12.9631709,77.598018
langford town,12.957998,77.6037312
lavakusha nagar,,
lavelle road,12.9683401,77.5965067
laxmi sagar layout,,
laxminarayana layout,,
lb shastri nagar,12.9660384,77.6708961
lic colony,12.9091489,77.5853379
lingadheeranahalli,,
lingarajapuram,13.0093949,77.6267881
lottegolla halli,,
m c layout,12.9730957,77.5353937
m g road,12.973071,77.6169918
m v extenstion,,
madanayakahalli,,
madavara,13.0574214,77.4728055
madiwala,12.9218931,77.6177348
magadi road,12.9756527,77.5553548
mahadevpura,12.9968412,77.6928386
mahaganapathy nagar,,
mahalakshmi layout,13.0113153,77.5446972
mahalakshmi puram,,
maheswari nagar,,
mailasandra,12.915939,77.4932278
maithri layout,12.9848621,77.7559192
makali,13.4392417,77.4890962
malimakanapura,,
mallappa layout,,
mallasandra,13.0548302,77.5155741
mallathahalli,12.969649,77.5023618
malleshpalya,12.9744129,77.6743533
malleshwaram,13.0027353,77.5703253
manayata tech park,13.0454837,77.6266492
mangammanapalya,12.9075288,77.6350312
manganahalli,12.9568799,77.4686083
mango garden layout,,
manjunath nagar,12.9536329,77.6543602
manjunatha layout,13.0250058,77.7001393
manonarayanapalya,,
manorayana palya,13.0296633,77.6061427
manyata,13.0196646,77.6550064
manyata park,13.0551983,77.62124
manyata tech park,13.0482891,77.6211004
maragondanahalli,13.0376489,77.6922232
marasandra,13.1039235,77.7114248
marathahalli,12.9552572,77.6984163
marathalli bridge,12.9566497,77.7070718
marathi layout,12.9114081,77.6443062
marenahalli,12.9182594,77.5916651
margondanahalli,,
mariyannapalya,,
marsur,12.7541941,77.7146318
maruthi extension,12.9976424,77.5631012
maruthi hbcs layout,12.9977407,77.5418368
maruthi layout,13.0870666,77.6199681
maruthi nagar,12.9746062,77.6756305
maruthi nagar kogilu,,
maruthi sevanagar,13.0027048,77.6346165
masjid e alkareem,,
mathikere,13.0333587,77.5581786
mathikere extension,,
mathikere sbm colony,13.0372442,77.5566011
mcechs layout,13.0725802,77.6152451
medahalli,13.0278454,77.7206079
medaralli,,
medi agrahara,13.1029398,77.52051
meenakshi layout,12.864332,77.5879452
meenakunte,,
mei layout bagalgunte,,
michael palaya,12.9844888,77.6467707
mico layout,12.9128289,77.6028358
milk colony,13.0093324,77.5583026
millers road,12.9885069,77.5918583
mla layout,13.0418249,77.5638494
mm layout,13.0003403,77.6179643
moodalapalya,12.9721131,77.5215397
motappa layout,,
mrcr layout,,
ms pallya,,
mudalpalaya,,
mukkutam nagar,,
mullur,,
muneshwara nagar,12.8903178,77.6389484
munivenkatppa layout,,
munnekollal,,
murugeshpalya,12.9589407,77.6555917
muthurayya swamy layout,,
muthyala nagar,,
mvj engineering college,12.984887,77.7622799
mylasandra,12.9160293,77.497544
mysore highway,12.8822917,77.4479257
mysore road,12.9466619,77.5300896
n r layout,12.9558857,77.6512156
nagadevanahalli,12.939922,77.4913207
naganathapura,12.8755868,77.6673054
nagappa reddy layout,12.9599768,77.7154704
nagaraja garden,,
nagarbhavi,12.9512353,77.519054
nagarbhavi bda complex,12.9793561,77.5105425
nagarbhavi garden villas layout,,
nagasandra,13.0479536,77.5001422
nagashetty halli,,
nagavara,13.0374647,77.623602
nagawara junction,13.0454631,77.626723
nagondanahalli,12.97516,77.7703403
naidu layout,13.0332707,77.5730946
nallurhalli,12.9766408,77.7248845
nan,12.935001,77.5931866
nandi durga road,12.9974474,77.6009869
nandi hills,13.5379282,77.7324372
nandini layout,13.0125961,77.5333145
nanjappa garden,13.0234077,77.6504121
nanjappa layout,13.0684259,77.557228
nanjappa layout vidyaranyapura,13.0684259,77.557228
narasapura,13.0721622,77.5587998
narayana nagar st block,,
narayanappa garden,12.9647744,77.7511974
narayanappa layout,12.9012546,77.7095639
narayanapura,13.0716969,77.6193949
navodaya nagar,12.8823286,77.5828765
nayandanahalli,,
ncpr industrial layout,12.9859964,77.7128545
nd block bel layout,,
nd block hbr layout,13.0340406,77.6309958
nd block hrbr layout,13.0204703,77.6241642
nd block jayanagar,12.9189992,77.5921272
nd phase judicial layout,,
nd stage arekere mico layout,,
nd stage nagarbhavi,12.9519754,77.5225956
near international airport,,
near ramanashree california resort,,
near ullas theater,,
neeladri nagar,12.8415946,77.6479125
neelamangala,,
neelasandra,12.9523859,77.6152058
nehru nagar,12.9829907,77.5744995
nelamangala,13.0979667,77.3945591
new gurappana palya,12.9242342,77.6041393
new thippasandra,12.9761264,77.660815
ngef layout,13.0377211,77.5751455
ngr layout,,
nirman layout,,
nobo nagar,12.8679232,77.5962356
nr colony,12.9388164,77.568326
nri layout,13.0271999,77.6792114
nrupathunga nagar,12.8829972,77.5837803
ns palya,12.9087935,77.6045543
nti layout,,
nyanappana halli,,
off bannergatta road,,
okalipura,12.9825341,77.5678787
old airport road,12.9584696,77.665621
old gurappanapalya,,
old madras road,13.0088647,77.6964618
old mangammanapalya road,12.899926,77.6358309
old town,13.0954569,77.5981153
omarbagh layout,,
ombr layout,13.0082113,77.652778
omkar nagar,12.89,77.5973052
outer ring road east,12.9792116,77.6952364
p krishnappa layout,12.9070818,77.6929357
p t colony,,
p t layout,12.9576681,77.6014516
padmanabhanagar,12.9181024,77.5576638
pai layout,12.9820719,77.7480909
pai layout mahadevapura,,
palace guttahalli,12.999489,77.5843469
palace road,12.9886003,77.5887689
palanahalli,13.1163349,77.6146643
pampa extension,13.0544256,77.5991953
panathur,12.9351457,77.7047541
panathur road,12.9423313,77.6949095
panduranga nagar,12.8930758,77.5961351
papareddipalya,,
parappana agrahara,12.8802089,77.6658442
park view layout,12.9728389,77.6168178
patelappa layout,,
pattanagere,12.9200602,77.506701
pattandur agrahara,12.9876393,77.7377718
pattegarhpalya,,
pavitra paradise,,
pc palaya,12.993425,77.7005156
peenya,13.0330515,77.5332233
phase kammasandra,,
pillahalli,13.1025289,77.4287996
pillanna gardens,,
pns layout,,
poorna pragna layout,,
poornapragna housing society layout,,
poornaprajna layout,12.908823,77.535944
popular colony,,
postal colony,13.0351918,77.5771223
pragathi nagar,12.9966313,77.671863
prakash nagar,12.9948984,77.5635409
prakruthi nagar,13.0978966,77.6157367
prakruthi township,13.0308767,77.6521533
prasanna layout herohalli,12.9974648,77.4970838
prasanth extension,,
prasanti nagar,,
prashanth nagar,12.9776188,77.5313254
prestige sunrise,12.8334817,77.6631176
prithvi layout,12.977178,77.7436455
pulikeshi nagar,,
pulkeshi nagar,,
punappa layout,,
puttanahalli,13.1119851,77.5770582
puttappa layout,12.9709603,77.6527383
queens road,13.0286549,77.5719067
r t nagar,13.0254156,77.5960071
race course road,12.9826943,77.5762159
